"Content","Info","Reference","Editor","Source Index","Source Timestamp"
"{{Infobox","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"person","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|name=David","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Siegel","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|birth_name=David","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Siegel","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|birth_date=","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|birth_place=[[Brooklyn]],","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"[[New","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"York","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"(U.S.","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"state)|New","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"York]],","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"U.S.","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|nationality=American","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|education","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"=","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"[[University","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"of","text","","","-1","2016-12-20T06:25:17.329+01:00"
"California,","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Berkeley]]","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|residence","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"=","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"[[New","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"York","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"City,","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"New","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"York]]","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|years_active","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"=","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"1993–present","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|occupation=[[Film","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Director]],","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Producer,","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Screenwriter","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"}}","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"{{For|the","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"music","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"producer|David","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"Siegel","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"(musician)}}","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"'''David","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel'''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"is","text","","","-1","2016-12-20T06:25:17.313+01:00"
"an","text","","","-1","2016-12-20T06:25:17.313+01:00"
