"Content","Info","Reference","Editor","Source Index","Source Timestamp"
"'''David","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel'''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"is","text","","","-1","2016-12-20T06:25:17.313+01:00"
"an","text","","","-1","2016-12-20T06:25:17.313+01:00"
"American","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"motion","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"picture","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"screenwriter","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-20T06:25:17.313+01:00"
"director,","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-20T06:25:17.313+01:00"
"part","text","","","-1","2016-12-20T06:25:17.313+01:00"
"of","text","","","-1","2016-12-20T06:25:17.313+01:00"
"a","text","","","-1","2016-12-20T06:25:17.313+01:00"
"long-standing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"writing-directing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"team","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"with","text","","","-1","2016-12-20T06:25:17.313+01:00"
"filmmaker","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"[[Scott","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"McGehee]].","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"His","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"films","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"include","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"''[[Suture","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(film)|Suture]]''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(1994),","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"''[[The","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Deep","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"End","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(film)|The","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Deep","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"End]]''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(2001),","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"''[[Bee","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Season","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(film)|Bee","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Season]]''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(2005)","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-20T06:25:17.313+01:00"
"''[[Uncertainty","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(film)|Uncertainty]]''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(2008).","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"==External","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"links==","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"*{{imdb","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"name|id=0796915|name=David","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel}}","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"[[Category:American","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"film","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"directors|Siegel,","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"David]]","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"[[Category:American","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"screenwriters|Siegel,","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"David]]","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"[[Category:Living","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"people|Siegel,","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"David]]","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"[[Category:Jewish-Americans]]","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
