"Content","Info","Reference","Editor","Source Index","Source Timestamp"
"{{For|the","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"music","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"producer|David","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"Siegel","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"(musician)}}","text","","Jesi","6","2010-05-13T02:25:40.000Z"
"'''David","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel'''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"is","text","","","-1","2016-12-20T06:25:17.313+01:00"
"an","text","","","-1","2016-12-20T06:25:17.313+01:00"
"American","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"motion","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"picture","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"screenwriter","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-20T06:25:17.313+01:00"
"director,","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-20T06:25:17.313+01:00"
"part","text","","","-1","2016-12-20T06:25:17.313+01:00"
"of","text","","","-1","2016-12-20T06:25:17.313+01:00"
"a","text","","","-1","2016-12-20T06:25:17.313+01:00"
"long-standing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"writing-directing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"team","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"with","text","","","-1","2016-12-20T06:25:17.313+01:00"
"filmmaker","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"[[Scott","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"McGehee]].","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"==Filmography==","text","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"*''[[Suture","text","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"(film)|Suture]]''","text","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"(1994)","text","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"*''[[The","text","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Deep","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"End","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(film)|The","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Deep","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"End]]''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(2001)","text","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"*''[[Bee","text","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Season","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(film)|Bee","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Season]]''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(2005)","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
