"Content","Info","Reference","Editor","Source Index","Source Timestamp"
"{{other","text","","R'n'B","18","2013-08-09T19:55:20.000Z"
"people|David","text","","R'n'B","18","2013-08-09T19:55:20.000Z"
"Siegel}}","text","","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
"{{Infobox","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"person","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|name=David","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Siegel","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|birth_name=","text","","All Hallow's Wraith","16","2013-05-02T10:23:07.000Z"
"|birth_date=","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|birth_place=[[Brooklyn]],","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"[[New","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"York","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"(U.S.","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"state)|New","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"York]],","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"U.S.","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|nationality=American","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|education","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"=","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"[[University","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"of","text","","","-1","2016-12-20T06:25:17.329+01:00"
"California,","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Berkeley]]","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|residence","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"=","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"[[New","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"York","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"City,","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"New","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"York]]","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|years_active","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"=","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"1993–present","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"|occupation=[[Film","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Director]],","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Producer,","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Screenwriter","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"}}","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"'''David","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel'''","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"is","text","","","-1","2016-12-20T06:25:17.313+01:00"
"an","text","","","-1","2016-12-20T06:25:17.313+01:00"
"American","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"film","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"director","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"and","text","","","-1","2016-12-20T06:25:17.345+01:00"
"screenwriter","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"and","text","","","-1","2016-12-20T06:25:17.345+01:00"
"producer,","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"and","text","","","-1","2016-12-20T06:25:17.313+01:00"
"part","text","","","-1","2016-12-20T06:25:17.313+01:00"
"of","text","","","-1","2016-12-20T06:25:17.313+01:00"
"a","text","","","-1","2016-12-20T06:25:17.313+01:00"
"long-standing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"writing-directing-producing","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"team","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"with","text","","","-1","2016-12-20T06:25:17.313+01:00"
"filmmaker","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"[[Scott","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"McGehee]].","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"==Filmography==","text","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"===Feature","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"films===","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"{|","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"class=""wikitable""","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"style=""text-align:center;font-size:100%;""","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"|-","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"!","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"rowspan=""2""","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"style=""width:50px;""|","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"Year","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"!","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"rowspan=""2""","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"style=""width:250px;""|","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"Film","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"!","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"colspan=""3""","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"|","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"Credited","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"as","text","","","-1","2016-12-20T06:25:17.345+01:00"
"!","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"rowspan=""2""","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"style=""text-align:center;","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"width:150px;""|","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"Distribution","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"|-","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"!","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"width=75","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"|","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"Director","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"!","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
