"Content","ID of source revision","Named Entity","Reference","Markup","Position (MathToken)"
"""David""","247017916","PERSON","","bold","/"
"""Siegel""","247017916","PERSON","","bold","/"
"""is""","0","O","","text","/"
"""an""","0","O","","text","/"
"""American""","247017916","O","","text","/"
"""film""","641758340","O","","text","/"
"""director""","641758340","O","","text","/"
""",""","642324273","O","","text","/"
"""screenwriter""","641758340","O","","text","/"
"""and""","0","O","","text","/"
"""producer""","641758340","O","","text","/"
""",""","247017916","O","","text","/"
"""and""","0","O","","text","/"
"""part""","0","O","","text","/"
"""of""","0","O","","text","/"
"""a""","0","O","","text","/"
"""long""","247017916","O","","text","/"
"""-""","247017916","O","","text","/"
"""standing""","247017916","O","","text","/"
"""writing""","247017916","O","","text","/"
"""-""","247017916","O","","text","/"
"""directing""","247017916","O","","text","/"
"""-""","641758340","O","","text","/"
"""producing""","641758340","O","","text","/"
"""team""","247017916","O","","text","/"
"""with""","0","O","","text","/"
"""filmmaker""","247017916","O","","text","/"
"""Scott""","247017916","PERSON","Scott McGehee","link","/"
"""McGehee""","247017916","PERSON","Scott McGehee","link","/"
""".""","247017916","O","","text","/"
"""1""","252853318","O","","header","/"
""".""","252853318","O","","header","/"
"""Filmography""","252853318","O","","header","/"
"""1""","641758340","O","","header","/"
""".""","247017916","O","","header","/"
"""1""","252853318","O","","header","/"
""".""","252853318","O","","header","/"
"""Feature""","641758340","O","","header","/"
"""films""","641758340","O","","header","/"
"""2""","252853318","O","","header","/"
""".""","252853318","O","","header","/"
"""Interviews""","252853318","O","","header","/"
"""Filmmaker""","511874306","O","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""Magazine""","511874306","O","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""interview""","252853318","O","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
""":""","252853318","O","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""""""","252853318","O","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""David""","511874306","PERSON","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""Siegel""","511874306","PERSON","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""and""","0","O","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""Scott""","511874306","PERSON","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""McGehee""","511874306","PERSON","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
""",""","511874306","O","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""'""","511874306","O","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
"""Uncertainty""","511874306","O","http:
//www.filmmakermagazine.com/news/2009/11/david-siegel-and-scott-mcgehee-uncertainty/
Filmmaker","extern","/"
